[2022-03-20 12:30:22.084] WARN [http-nio-8000-exec-10]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 208302
[2022-03-20 12:39:59.787] WARN [http-nio-8000-exec-2]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 574691
[2022-03-20 12:41:31.561] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 76532
[2022-03-20 16:52:09.637] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 264210
[2022-03-20 16:58:12.683] WARN [http-nio-8000-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 300921
[2022-03-20 16:59:33.249] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidDataSource.getConnectionDirect:1432 -get connection timeout retry : 1
[2022-03-20 17:01:32.518] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 82531
[2022-03-20 17:01:32.650] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 117925
[2022-03-20 17:05:37.353] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 159622
[2022-03-20 17:07:22.731] WARN [http-nio-8000-exec-3]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 90653
[2022-03-20 17:08:37.033] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 71997
[2022-03-20 17:12:57.634] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 120412
[2022-03-20 17:12:57.862] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 139560
[2022-03-20 17:12:58.002] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 141083
[2022-03-20 17:12:58.130] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 142676
[2022-03-20 17:12:58.621] WARN [http-nio-8000-exec-4]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 145773
[2022-03-20 17:14:52.343] WARN [http-nio-8000-exec-6]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 111743
[2022-03-20 17:17:10.211] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 81017
[2022-03-20 17:17:10.431] WARN [http-nio-8000-exec-1]com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal:1494 -discard long time none received connection. , jdbcUrl : jdbc:mysql://pay-all-yc-sg-cluster.cluster-cctfla751ard.ap-southeast-1.rds.amazonaws.com:3306/dc_meta?useUnicode=true&characterEncoding=utf-8&allowMultiQueries=true&useSSL=false&serverTimezone=Asia/Shanghai, version : 1.2.8, lastPacketReceivedIdleMillis : 135622
